  No.     Squares    Time (s)     Sq./sec
    0           0           0         0.0
    1           0           0         0.0
    2       19200        4952         3.9
    3       89344       16388         5.5
    4     1740672      373640         4.7
    5           0           0         0.0
    6       15680        3511         4.5
    7       21760        5413         4.0
    8       36320        9719         3.7
    9       35680        9538         3.7
   10       27008        5847         4.6
   11       26880        6571         4.1
   12       32032        8477         3.8
   13        5696        1634         3.5
   14       31632        5956         5.3
   15       19568        5040         3.9
   16       23104        5284         4.4
   17       21184        3798         5.6
   18       40320       10984         3.7
   19       32544        8789         3.7
   20       31824        5820         5.5
   21       79232       12861         6.2
   22       41168        9702         4.2
   23       26480        6188         4.3
   24       24952        6135         4.1
   25       25568        5560         4.6
   26      245248       44365         5.5
   27       63424       17903         3.5
   28       25248        7240         3.5
   29       49856       10370         4.8
   30        5992        1800         3.3
   31       27584        3900         7.1
   32        4568        1177         3.9
   33       20352        3068         6.6
   34       15552        3526         4.4
   35       15024        2860         5.3
   36         992         241         4.1
   37           0           0         0.0
   38        1056         183         5.8
   39           0           0         0.0
   40           0           0         0.0
   41           0           0         0.0
   42           0           0         0.0
   43      682624      184085         3.7
   44      123392       34828         3.5
   45      163008       43846         3.7
   46      109296       30309         3.6
   47       77328       22306         3.5
   48      275264       54157         5.1
   49       42576       12199         3.5
   50       80016       20233         4.0
   51       36320        9865         3.7
   52       60808       16170         3.8
   53       46716       12762         3.7
   54       36244       10848         3.3
   55       65568       17685         3.7
   56       45592       14088         3.2
   57       21792        6420         3.4
   58      114832       27937         4.1
   59       75800       16826         4.5
   60       59708       13019         4.6
   61       28148        7769         3.6
   62       20724        6419         3.2
   63       32888        9913         3.3
   64       33678       10241         3.3
   65       20356        6269         3.2
   66       20108        4843         4.2
   67       22224        6692         3.3
   68       33412        8932         3.7
   69       19186        5671         3.4
   70       16478        5178         3.2
   71       54376       16217         3.4
   72       37738       12106         3.1
   73       36688        9707         3.8
   74       21740        6698         3.2
   75       22526        7026         3.2
   76       39020       10426         3.7
   77       36532       10872         3.4
   78       30424        9318         3.3
   79       34150       10555         3.2
   80       32598       10557         3.1
   81       28080        7284         3.9
   82       29372        8254         3.6
   83       17904        5814         3.1
   84       16824        5428         3.1
   85       86832       16610         5.2
   86       46328       12294         3.8
   87       36996       10652         3.5
   88       30448        8466         3.6
   89       22084        6707         3.3
   90       14712        4041         3.6
   91       14036        4135         3.4
   92       14868        4289         3.5
   93       16168        4726         3.4
   94       28152        8522         3.3
   95       24370        7651         3.2
   96       22954        7006         3.3
   97       23182        7179         3.2
   98       20676        6158         3.4
   99       17900        5497         3.3
  100       20842        6088         3.4
  101       49024       12090         4.1
  102       21080        6575         3.2
  103       30108        8723         3.5
  104       43116       11051         3.9
  105       20236        6516         3.1
  106       36568        9153         4.0
  107       17554        5376         3.3
  108       29864        7973         3.7
  109       20854        6412         3.3
  110       45520        9805         4.6
  111       22240        6357         3.5
  112       65888       16414         4.0
  113       15628        4952         3.2
  114       53892       15319         3.5
  115       28488        9177         3.1
  116       19194        6182         3.1
  117       20392        6499         3.1
  118       37392        9162         4.1
  119       11602        3760         3.1
  120       32252        9315         3.5
  121       21888        6974         3.1
  122       24198        7353         3.3
  123       21342        6560         3.3
  124        9736        3206         3.0
  125       23568        5568         4.2
  126       19392        6251         3.1
  127       19714        6397         3.1
  128       19456        6155         3.2
  129       30824        8621         3.6
  130       21604        6637         3.3
  131       17552        6345         2.8
  132        8210        2690         3.1
  133       39224        9816         4.0
  134       23454        7552         3.1
  135       25764        7947         3.2
  136       17150        5638         3.0
  137      134176       18920         7.1
  138       39848       11599         3.4
  139       56664       15146         3.7
  140       31920        9251         3.5
  141       23436        7136         3.3
  142       15316        4884         3.1
  143       26520        7220         3.7
  144       39208       15900         2.5
  145      129248       21637         6.0
  146       21488        5613         3.8
  147       42288       10676         4.0
  148       40656        9404         4.3
  149       24040        6339         3.8
  150       26556        8444         3.1
  151      162496       39580         4.1
  152       51840       14137         3.7
  153       34450       11209         3.1
  154       21772        6157         3.5
  155       37928       10274         3.7
  156       30612        7366         4.2
  157       25268        6246         4.0
  158       31314        8420         3.7
  159       32992        7494         4.4
  160       24184        5934         4.1
  161       26952        7269         3.7
  162       26496        7156         3.7
  163      105984       30848         3.4
  164        5984        1606         3.7
  165       11146        2805         4.0
  166       14192        3017         4.7
  167       16542        4113         4.0
  168       13410        3254         4.1
  169        8378        2158         3.9
  170       16304        3964         4.1
  171       17536        4177         4.2
  172       11048        2831         3.9
  173       25856        6902         3.7
  174       19028        4564         4.2
  175       14608        3729         3.9
  176       15884        4016         4.0
  177       30184        6248         4.8
  178       19874        4857         4.1
  179       17002        4355         3.9
  180       16580        3822         4.3
  181       14994        3869         3.9
  182       16516        4078         4.0
  183       14798        3774         3.9
  184       14896        3660         4.1
  185       18872        4658         4.1
  186       20098        4715         4.3
  187       13992        3927         3.6
  188       15664        4009         3.9
  189       14898        3910         3.8
  190       21658        5513         3.9
  191       18236        4527         4.0
  192       18044        4555         4.0
  193       75328        8205         9.2
  194       34928        7827         4.5
  195       26556        6502         4.1
  196       21148        5374         3.9
  197       22910        5802         3.9
  198       19972        4803         4.2
  199       18354        4533         4.0
  200       35888        8459         4.2
  201        3668         920         4.0
  202       13816        3295         4.2
  203       14036        3340         4.2
  204       12200        3034         4.0
  205       13048        3323         3.9
  206        3288         646         5.1
  207        4524        1003         4.5
  208       20292        4517         4.5
  209       18186        4314         4.2
  210       17098        3960         4.3
  211       16744        3688         4.5
  212       16976        3902         4.4
  213       17100        3854         4.4
  214       17946        4296         4.2
  215       35088        8683         4.0
  216       26096        6155         4.2
  217        4688         844         5.6
  218        7136        1384         5.2
  219       12864        2311         5.6
  220       21816        4679         4.7
  221       21272        4650         4.6
  222       19266        4290         4.5
  223       32812        8102         4.0
  224       21128        4303         4.9
  225       26328        6243         4.2
  226      294272       36893         8.0
  227       87408       21465         4.1
  228           0           0         0.0
  229       64256       15031         4.3
  230       54848       12403         4.4
  231       33048        7794         4.2
  232       27936        6836         4.1
  233       37736        9420         4.0
  234      106384       26899         4.0
  235       67556       17742         3.8
  236       40668       10100         4.0
  237      170240       44260         3.8
  238       65144       15280         4.3
  239       41236       10300         4.0
  240       20512        4314         4.8
  241       28376        6912         4.1
  242       28474        7063         4.0
  243       30250       14371         2.1
  244       70288       36484         1.9
  245       27756       13139         2.1
  246       27606       12869         2.1
  247       59752       29195         2.0
  248       69512       30783         2.3
  249       38576       18065         2.1
  250       36164       17436         2.1
Total     9329018     2403291
